tag;ute
M01;UTE-01
M02;UTE-01
M03;UTE-01
M04;UTE-01
M06;UTE-02
M07;UTE-02
M08;UTE-02
M09;UTE-02
M10;UTE-02
M11;UTE-02
M12;UTE-02
M13;UTE-02
M14;UTE-03
M15;UTE-03
M16;UTE-03
M17;UTE-03
M18;UTE-03
M19;UTE-03
M20;UTE-03
M21;UTE-03
M22;UTE-03
M23;UTE-03
M24;UTE-04
M25;UTE-02
M26;UTE-04
M27;UTE-04
M28;UTE-04
M29;UTE-04
M30;UTE-02
M31;UTE-04
M32;UTE-04
M33;UTE-04
M34;UTE-04
M35;UTE-05
M36;UTE-05
M37;UTE-05
M38;UTE-05
M39;UTE-05
M40;UTE-05
M41;UTE-05
M42;UTE-05
M43;UTE-05
M44;UTE-05
M45;UTE-04
M46;UTE-04
